Region,Country,Date,Measure,Value,New,Population
All,Germany,2020-11-19,Cases,893503,23755,83166711
All,Germany,2020-11-20,Cases,915809,22306,83166711
All,Germany,2020-11-21,Cases,930602,14793,83166711
All,Germany,2020-11-22,Cases,939454,8852,83166711
All,Germany,2020-11-23,Cases,954550,15096,83166711
All,Germany,2020-11-24,Cases,973999,19449,83166711
All,Germany,2020-11-25,Cases,996086,22087,83166711
All,Germany,2020-11-26,Cases,1018864,22778,83166711
All,Germany,2020-11-27,Cases,1039012,20148,83166711
All,Germany,2020-11-28,Cases,1053949,14937,83166711
All,Germany,2020-11-29,Cases,1062745,8796,83166711
All,Germany,2020-11-30,Cases,1076071,13326,83166711
All,Germany,2020-12-01,Cases,1095326,19255,83166711
All,Germany,2020-12-02,Cases,1118533,23207,83166711
All,Germany,2020-12-03,Cases,1142988,24455,83166711
All,Germany,2020-12-04,Cases,1165280,22292,83166711
All,Germany,2020-12-05,Cases,1181001,15721,83166711
All,Germany,2020-12-06,Cases,1191261,10260,83166711
All,Germany,2020-12-07,Cases,1207732,16471,83166711
All,Germany,2020-12-08,Cases,1230572,22840,83166711
All,Germany,2020-12-09,Cases,1258266,27694,83166711
All,Germany,2020-12-10,Cases,1287340,29074,83166711
All,Germany,2020-12-11,Cases,1314645,27305,83166711
All,Germany,2020-12-12,Cases,1335294,20649,83166711
All,Germany,2020-12-13,Cases,1347802,12508,83166711
All,Germany,2020-12-14,Cases,1366887,19085,83166711
All,Germany,2020-12-15,Cases,1393821,26934,83166711
All,Germany,2020-12-16,Cases,1425198,31377,83166711
All,Germany,2020-12-17,Cases,1457254,32056,83166711
All,Germany,2020-12-18,Cases,1487042,29788,83166711
All,Germany,2020-12-19,Cases,1508800,21758,83166711
All,Germany,2020-12-20,Cases,1522751,13951,83166711
All,Germany,2020-12-21,Cases,1543127,20376,83166711
All,Germany,2020-12-22,Cases,1572141,29014,83166711
All,Germany,2020-12-23,Cases,1606164,34023,83166711
All,Germany,2020-12-24,Cases,1627354,21190,83166711
All,Germany,2020-12-25,Cases,1640569,13215,83166711
All,Germany,2020-12-26,Cases,1652146,11577,83166711
All,Germany,2020-12-27,Cases,1661983,9837,83166711
All,Germany,2020-12-28,Cases,1677731,15748,83166711
All,Germany,2020-12-29,Cases,1705303,27572,83166711
All,Germany,2020-12-30,Cases,1736419,31116,83166711
All,Germany,2020-12-31,Cases,1756075,19656,83166711
All,Germany,2021-01-01,Cases,1766354,10279,83166711
All,Germany,2021-01-02,Cases,1776371,10017,83166711
All,Germany,2021-01-03,Cases,1785202,8831,83166711
All,Germany,2021-01-04,Cases,1799431,14229,83166711
All,Germany,2021-01-05,Cases,1826831,27400,83166711
All,Germany,2021-01-06,Cases,1854826,27995,83166711
All,Germany,2021-01-07,Cases,1880985,26159,83166711
All,Germany,2021-01-08,Cases,1905529,24544,83166711
All,Germany,2021-01-09,Cases,1922190,16661,83166711
All,Germany,2021-01-10,Cases,1930691,8501,83166711
All,Germany,2021-01-11,Cases,1944211,13520,83166711
All,Germany,2021-01-12,Cases,1966809,22598,83166711
All,Germany,2021-01-13,Cases,1990916,24107,83166711
All,Germany,2021-01-14,Cases,2011364,20448,83166711
All,Germany,2021-01-15,Cases,2029686,18322,83166711
All,Germany,2021-01-16,Cases,2043096,13410,83166711
All,Germany,2021-01-17,Cases,2049708,6612,83166711
All,Germany,2021-01-18,Cases,2058863,9155,83166711
All,Germany,2021-01-19,Cases,2077315,18452,83166711
All,Germany,2021-01-20,Cases,2096831,19516,83166711
All,Germany,2021-01-21,Cases,2113657,16826,83166711
All,Germany,2021-01-22,Cases,2128692,15035,83166711
All,Germany,2021-01-23,Cases,2140277,11585,83166711
All,Germany,2021-01-24,Cases,2145295,5018,83166711
All,Germany,2021-01-25,Cases,2152052,6757,83166711
All,Germany,2021-01-26,Cases,2167555,15503,83166711
All,Germany,2021-01-27,Cases,2183389,15834,83166711
All,Germany,2021-01-28,Cases,2196776,13387,83166711
All,Germany,2021-01-29,Cases,2209354,12578,83166711
All,Germany,2021-01-30,Cases,2219324,9970,83166711
All,Germany,2021-01-31,Cases,2223541,4217,83166711
All,Germany,2021-02-01,Cases,2229418,5877,83166711
All,Germany,2021-02-02,Cases,2241752,12334,83166711
All,Germany,2021-02-03,Cases,2255188,13436,83166711
All,Germany,2021-02-04,Cases,2266713,11525,83166711
All,Germany,2021-02-05,Cases,2276741,10028,83166711
All,Germany,2021-02-06,Cases,2285137,8396,83166711
All,Germany,2021-02-07,Cases,2288229,3092,83166711
All,Germany,2021-02-08,Cases,2292435,4206,83166711
All,Germany,2021-02-09,Cases,2301532,9097,83166711
All,Germany,2021-02-10,Cases,2311816,10284,83166711
All,Germany,2021-02-11,Cases,2321182,9366,83166711
All,Germany,2021-02-12,Cases,2329716,8534,83166711
All,Germany,2021-02-13,Cases,2335345,5629,83166711
All,Germany,2021-02-14,Cases,2339100,3755,83166711
All,Germany,2021-02-15,Cases,2343506,4406,83166711
All,Germany,2021-02-16,Cases,2352770,9264,83166711
All,Germany,2021-02-17,Cases,2362776,10006,83166711
